;stage;fecha_hecho;poblacion;territorio;caracteristica;patrimonio;latitud;longitud;caso;valor;cantidad;id;nombre_barrio;codigo_barrio;codigo_comuna;lugar;sede_receptora;id;sexo;edad;estado_civil;grupo_actor;actividad_delictiva;parentesco;ocupacion;discapacidad;grupo_especial;medio_transporte;nivel_academico;testigo;id;conducta;modalidad;caracterizacion;conducta_especial;arma_medio;articulo_penal;categoria_penal;id;bien;categoria_bien;grupo_bien;modelo;color;permiso;unidad_medida
27863;HS_HURTO_GENERAL_2013_43677;2013-07-01 10:00:00;1c440033279cca6e5e4f0b3f8e6ecf1427c74f1e;677a3f120ab6fa1340115635ac2975f69260aca8;cf6494077082b620d07b18d7c92a746d69b19863;0ab4f50acb668cf6c443a8b7ee35c3ca0a65c2e6;6,263064;-75,612493;VERDADERO;10000000;1;677a3f120ab6fa1340115635ac2975f69260aca8;Juan XXIIIi la Quiebra;#1307;13;Potrero;San Javier;1c440033279cca6e5e4f0b3f8e6ecf1427c74f1e;Hombre;26;Unión marital de hecho;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;cf6494077082b620d07b18d7c92a746d69b19863;Hurto de semoviente;Descuido;Sin dato;No;No;Sin dato;Sin dato;0ab4f50acb668cf6c443a8b7ee35c3ca0a65c2e6;Animales domésticos;Fauna;Mercancía;-1;Sin dato;Sin dato;Sin dato
33277;46562f32-a57e-47f9-84a5-c7aaae36e1ad;2021-04-27 18:51:00;c956d3a5ba74ab1758c1fc2eea5e38a1729ca04f;02ee147c4e56e139bd457d4cfeb2d480012a9d0f;cf6494077082b620d07b18d7c92a746d69b19863;0ab4f50acb668cf6c443a8b7ee35c3ca0a65c2e6;6,29729673;-75,63566574;VERDADERO;14999999;1;02ee147c4e56e139bd457d4cfeb2d480012a9d0f;La Ilusion;#6008;60;Potrero;Doce de Octubre;c956d3a5ba74ab1758c1fc2eea5e38a1729ca04f;Hombre;50;Soltero(a);Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Caminata;Sin dato;Sin dato;cf6494077082b620d07b18d7c92a746d69b19863;Hurto de semoviente;Descuido;Sin dato;No;No;Sin dato;Sin dato;0ab4f50acb668cf6c443a8b7ee35c3ca0a65c2e6;Animales domésticos;Fauna;Mercancía;-1;Sin dato;Sin dato;Sin dato
39848;bee0975a5569b2cc0010c43fc30cb49c81feddcf;2017-04-09 00:00:00;ae1d6ec1ce0e9d2471327837abf0ab93e83617db;c38aebe3a3ad66e5bc03320a9cfd0669d633ef70;fa314032ba1b837f51e5230660ab8b5518ca573c;cdd2403abc2fbe19253a01600a49420c01503694;6,27505693;-75,61091295;VERDADERO;5000000;1;c38aebe3a3ad66e5bc03320a9cfd0669d633ef70;Olaya Herrera;#0722;7;Vía pública;Castilla;ae1d6ec1ce0e9d2471327837abf0ab93e83617db;Hombre;47;Casado(a);Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Caminata;Sin dato;Sin dato;fa314032ba1b837f51e5230660ab8b5518ca573c;Hurto de semoviente;Arreo;Sin dato;No;No;Sin dato;Sin dato;cdd2403abc2fbe19253a01600a49420c01503694;Animales domésticos;Fauna;Mercancía;-1;Negro;Sin dato;Sin dato
40630;6a7ad3d061ea9571e608de9fa6d8fce62c2dddb5;2020-08-07 10:00:00;931364cb64038cd3922ef57d9f50b9a2967c96df;8c7e110619b0f7871c2fcf33e331e31639ad8fdc;fa314032ba1b837f51e5230660ab8b5518ca573c;3a8e703a337586d18e01c727a2885a179ee16015;6,19232046;-75,55481122;VERDADERO;2500000;1;8c7e110619b0f7871c2fcf33e331e31639ad8fdc;Los Naranjos;#1410;14;Finca;Poblado;931364cb64038cd3922ef57d9f50b9a2967c96df;Hombre;38;Casado(a);Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Caminata;Sin dato;Sin dato;fa314032ba1b837f51e5230660ab8b5518ca573c;Hurto de semoviente;Arreo;Sin dato;No;No;Sin dato;Sin dato;3a8e703a337586d18e01c727a2885a179ee16015;Animales domésticos;Fauna;Mercancía;-1;Café;Sin dato;Sin dato
40953;HS_HURTO_GENERAL_2013_13016;2005-08-24 16:00:00;931364cb64038cd3922ef57d9f50b9a2967c96df;ccd91b3da924306ae6df26114ad78285c16d70e4;eaacba87b3e029abdb58e4214b44ccc315fd2de2;0ab4f50acb668cf6c443a8b7ee35c3ca0a65c2e6;;;FALSO;9000000;1;ccd91b3da924306ae6df26114ad78285c16d70e4;La Florida S.A.P.;#8001;80;Vía pública;Belén;931364cb64038cd3922ef57d9f50b9a2967c96df;Hombre;38;Casado(a);Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Caminata;Sin dato;Sin dato;eaacba87b3e029abdb58e4214b44ccc315fd2de2;Hurto de semoviente;Descuido;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;0ab4f50acb668cf6c443a8b7ee35c3ca0a65c2e6;Animales domésticos;Fauna;Mercancía;-1;Sin dato;Sin dato;Sin dato
43925;HS_HURTO_GENERAL_2013_49130;2013-12-24 07:30:00;80abff09eb5171600860ac3b101346f2f57b3b2e;8f1c7fc5fd6988eacc2e07a38ac34f915810cd8d;fa314032ba1b837f51e5230660ab8b5518ca573c;0ab4f50acb668cf6c443a8b7ee35c3ca0a65c2e6;;;VERDADERO;1000000;1;8f1c7fc5fd6988eacc2e07a38ac34f915810cd8d;Boqueron;#6006;60;Finca;Doce de Octubre;80abff09eb5171600860ac3b101346f2f57b3b2e;Hombre;43;Unión marital de hecho;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Caminata;Sin dato;Sin dato;fa314032ba1b837f51e5230660ab8b5518ca573c;Hurto de semoviente;Arreo;Sin dato;No;No;Sin dato;Sin dato;0ab4f50acb668cf6c443a8b7ee35c3ca0a65c2e6;Animales domésticos;Fauna;Mercancía;-1;Sin dato;Sin dato;Sin dato
45636;dab4314c3bf6bf14fa5b8e01a9b562392cf26705;2015-04-20 06:30:00;b1bc31b271ce43a7f0c72c4a16c8cad8c0c03b0a;7b4eb830f7a3c8af46f90f582fa1c66b121b9ab2;c805eb33b7eeb5581d2a3b335bba50078f22acfd;0ab4f50acb668cf6c443a8b7ee35c3ca0a65c2e6;6,16685898;-75,6463707;VERDADERO;8000000;1;7b4eb830f7a3c8af46f90f582fa1c66b121b9ab2;Área Urbana Cgto. San Antonio de Prado;#AUC2;80;Finca;San Antonio de Prado;b1bc31b271ce43a7f0c72c4a16c8cad8c0c03b0a;Hombre;45;Unión marital de hecho;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Caminata;Sin dato;Sin dato;c805eb33b7eeb5581d2a3b335bba50078f22acfd;Hurto de semoviente;Desvalijar o descuartizar;Sin dato;No;No;Sin dato;Sin dato;0ab4f50acb668cf6c443a8b7ee35c3ca0a65c2e6;Animales domésticos;Fauna;Mercancía;-1;Sin dato;Sin dato;Sin dato
47315;53ff7a8c21431aa671afdd1d2b2e534466aa0443;2018-02-08 02:30:00;c2f60b43fa5aa4373f4f1b9235e51f6b3d241b31;0d2d30aec37f11261fdb5e30bb98cfd205369910;fa314032ba1b837f51e5230660ab8b5518ca573c;3a8e703a337586d18e01c727a2885a179ee16015;6,25363284;-75,53619295;VERDADERO;3000000;1;0d2d30aec37f11261fdb5e30bb98cfd205369910;Piedras Blancas Matasano;#9003;90;Finca;Buenos Aires;c2f60b43fa5aa4373f4f1b9235e51f6b3d241b31;Hombre;44;Casado(a);Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Caminata;Sin dato;Sin dato;fa314032ba1b837f51e5230660ab8b5518ca573c;Hurto de semoviente;Arreo;Sin dato;No;No;Sin dato;Sin dato;3a8e703a337586d18e01c727a2885a179ee16015;Animales domésticos;Fauna;Mercancía;-1;Café;Sin dato;Sin dato
48030;HS_HURTO_GENERAL_2010_31644;2009-08-01 04:45:00;8892bd24bec666c5816d96f012a57eaae1c02e97;ffcf47eff38e2df33b3a84fa66374f6720410817;d8ac1aacb926815dd790645ce718ac00db6b28b1;4ae8b814fab138d9032654fdc7d5f2ef29519810;;;VERDADERO;20000000;1;ffcf47eff38e2df33b3a84fa66374f6720410817;Sin dato;SIN DATO;SIN DATO;Lote baldío;Doce de Octubre;8892bd24bec666c5816d96f012a57eaae1c02e97;Hombre;50;Casado(a);Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Caminata;Sin dato;Sin dato;d8ac1aacb926815dd790645ce718ac00db6b28b1;Hurto de semoviente;Desvalijar o descuartizar;Sin dato;Sin dato;Arma cortopunzante;Sin dato;Sin dato;4ae8b814fab138d9032654fdc7d5f2ef29519810;Animales domésticos;Fauna;Mercancía;-1;Blanco;Sin dato;Sin dato
48327;bc04842402ff206ee332fd99c51b4a11e2be37e4;2020-02-29 02:00:00;8892bd24bec666c5816d96f012a57eaae1c02e97;5c68db408b2d6b6381bbb5c92a90acb4884cc07b;fa314032ba1b837f51e5230660ab8b5518ca573c;3a8e703a337586d18e01c727a2885a179ee16015;6,28288277;-75,63411029;VERDADERO;2000000;1;5c68db408b2d6b6381bbb5c92a90acb4884cc07b;Pedregal Alto;#6013;60;Potrero;Doce de Octubre;8892bd24bec666c5816d96f012a57eaae1c02e97;Hombre;50;Casado(a);Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Caminata;Sin dato;Sin dato;fa314032ba1b837f51e5230660ab8b5518ca573c;Hurto de semoviente;Arreo;Sin dato;No;No;Sin dato;Sin dato;3a8e703a337586d18e01c727a2885a179ee16015;Animales domésticos;Fauna;Mercancía;-1;Café;Sin dato;Sin dato
