;stage;fecha_hecho;poblacion;territorio;caracteristica;patrimonio;latitud;longitud;caso;valor;cantidad;id;nombre_barrio;codigo_barrio;codigo_comuna;lugar;sede_receptora;id;sexo;edad;estado_civil;grupo_actor;actividad_delictiva;parentesco;ocupacion;discapacidad;grupo_especial;medio_transporte;nivel_academico;testigo;id;conducta;modalidad;caracterizacion;conducta_especial;arma_medio;articulo_penal;categoria_penal;id;bien;categoria_bien;grupo_bien;modelo;color;permiso;unidad_medida
3053;HS_HURTO_GENERAL_2013_4340;2003-11-01 13:05:00;b82881542bd0483b549506320aca5e55522ef528;952c520c579248ebe4c2211d9d4e5d6820d1c329;f9184bfb88ed7af925ec6dfb2de0b9681e1abb46;d038d1e8b08722b426f702fcbc690b6603d33401;6,252705;-75,568396;FALSO;7000000;1;952c520c579248ebe4c2211d9d4e5d6820d1c329;La Candelaria;#1019;10;Vía pública;Sin dato;b82881542bd0483b549506320aca5e55522ef528;Hombre;43;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;f9184bfb88ed7af925ec6dfb2de0b9681e1abb46;Hurto por piratería terrestre;Sin dato;Sin dato;Sin dato;Arma de fuego;Sin dato;Sin dato;d038d1e8b08722b426f702fcbc690b6603d33401;Sin dato prendas de vestir;Prendas de vestir y accesorios;Mercancía;-1;Sin dato;Sin dato;Sin dato
3910;HS_HURTO_GENERAL_2013_6617;2004-04-10 09:00:00;6ade188eeec16ecec061ebf3124ad50055183104;da5e64fdbba59da28c9e9614c9e2f57517fd25b7;351c2340f586cc48479956032af2465d65da8437;6729f9c5c05c3dfa0a20e89a44a2c7eba2ecb0dd;6,202289;-75,596039;VERDADERO;3000000;1;da5e64fdbba59da28c9e9614c9e2f57517fd25b7;La Colina;#1511;15;Vía pública;Sin dato;6ade188eeec16ecec061ebf3124ad50055183104;Hombre;28;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;351c2340f586cc48479956032af2465d65da8437;Hurto por piratería terrestre;Sin dato;Sin dato;A vehículo repartidor;Arma de fuego;Sin dato;Sin dato;6729f9c5c05c3dfa0a20e89a44a2c7eba2ecb0dd;Carbohidratos y dulces;Alimento;Mercancía;-1;Sin dato;Sin dato;Sin dato
4162;HS_HURTO_GENERAL_2010_10756;2004-11-16 18:00:00;efc7a8bb5303c88b71fbe80532d7701a09b34e4e;c0fbb08b6490f1234a2210bb486dcdb22a609628;231b124434b8c39e45d630f9514aaa8fd8989edb;644556d829a0cd151a126662a6fef2846e2eeda1;6,255955;-75,566306;VERDADERO;6800000;1;c0fbb08b6490f1234a2210bb486dcdb22a609628;Villa Nueva;#1018;10;Vía pública;Candelaria;efc7a8bb5303c88b71fbe80532d7701a09b34e4e;Hombre;27;Soltero(a);Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;231b124434b8c39e45d630f9514aaa8fd8989edb;Hurto por piratería terrestre;Atraco;Sin dato;Piratería;Sin dato;Sin dato;Sin dato;644556d829a0cd151a126662a6fef2846e2eeda1;Sin dato;Sin dato;Sin dato;-1;Sin dato;Sin dato;Sin dato
4213;HS_HURTO_GENERAL_2010_22338;2007-05-11 14:50:00;d2fe7351dff7c26730f7ccda7d79b1d1eef6091f;9031f881df085b50278bf76b5e53928390054193;e56f69b049f0569379756c7843638d0b6d852d82;5ae7d6cf2827f7968abcb5e124fffb51264182a5;6,258764;-75,603334;VERDADERO;6114958;1;9031f881df085b50278bf76b5e53928390054193;Santa Lucía;#1206;12;Vía pública;Laureles;d2fe7351dff7c26730f7ccda7d79b1d1eef6091f;Hombre;51;Soltero(a);Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Automóvil;Sin dato;Sin dato;e56f69b049f0569379756c7843638d0b6d852d82;Hurto por piratería terrestre;Atraco;Sin dato;Piratería;Arma de fuego;Sin dato;Sin dato;5ae7d6cf2827f7968abcb5e124fffb51264182a5;Sin dato mercancías;Sin dato mercancías;Mercancía;-1;Sin dato;Sin dato;Sin dato
4214;HS_HURTO_GENERAL_2013_19250;2007-05-11 14:50:00;d2fe7351dff7c26730f7ccda7d79b1d1eef6091f;9031f881df085b50278bf76b5e53928390054193;e56f69b049f0569379756c7843638d0b6d852d82;5ae7d6cf2827f7968abcb5e124fffb51264182a5;6,258764;-75,603334;FALSO;6114958;1;9031f881df085b50278bf76b5e53928390054193;Santa Lucía;#1206;12;Vía pública;Laureles;d2fe7351dff7c26730f7ccda7d79b1d1eef6091f;Hombre;51;Soltero(a);Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Automóvil;Sin dato;Sin dato;e56f69b049f0569379756c7843638d0b6d852d82;Hurto por piratería terrestre;Atraco;Sin dato;Piratería;Arma de fuego;Sin dato;Sin dato;5ae7d6cf2827f7968abcb5e124fffb51264182a5;Sin dato mercancías;Sin dato mercancías;Mercancía;-1;Sin dato;Sin dato;Sin dato
4322;HS_HURTO_GENERAL_2013_20683;2007-11-30 10:30:00;cf3fc48541186bdb2f3dda663376162f82ccec76;ad6672d46483813386f871449c37b86b42b1ae4b;ae680d06f6b0853a226b44a338d6d7a9ce614b56;e278ba8be0be87febd37eb02d408afc179317a60;6,29476;-75,560154;FALSO;960000;1;ad6672d46483813386f871449c37b86b42b1ae4b;Santa Cruz;#0210;2;Vía pública;Santa Cruz;cf3fc48541186bdb2f3dda663376162f82ccec76;Hombre;24;Unión marital de hecho;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Automóvil;Sin dato;Sin dato;ae680d06f6b0853a226b44a338d6d7a9ce614b56;Hurto por piratería terrestre;Suplantación;Sin dato;Piratería;Arma de fuego;Sin dato;Sin dato;e278ba8be0be87febd37eb02d408afc179317a60;Algodón;Materia prima;Mercancía;-1;Gris;Sin dato;Sin dato
4323;HS_HURTO_GENERAL_2013_20684;2007-11-30 10:30:00;cf3fc48541186bdb2f3dda663376162f82ccec76;ad6672d46483813386f871449c37b86b42b1ae4b;ae680d06f6b0853a226b44a338d6d7a9ce614b56;cc2444ee9c4815a2df2608243ab62815a280512d;6,29476;-75,560154;FALSO;540000;1;ad6672d46483813386f871449c37b86b42b1ae4b;Santa Cruz;#0210;2;Vía pública;Santa Cruz;cf3fc48541186bdb2f3dda663376162f82ccec76;Hombre;24;Unión marital de hecho;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Automóvil;Sin dato;Sin dato;ae680d06f6b0853a226b44a338d6d7a9ce614b56;Hurto por piratería terrestre;Suplantación;Sin dato;Piratería;Arma de fuego;Sin dato;Sin dato;cc2444ee9c4815a2df2608243ab62815a280512d;Telas;Otros elementos;Mercancía;-1;Sin dato;Sin dato;Sin dato
4913;HS_HURTO_GENERAL_2013_12112;2005-06-29 06:15:00;cd2d0afad3c1e00ad4500cd44f94cc316f07035e;d1d4bed61299f979bb628cf5250a8657bc610aff;e56f69b049f0569379756c7843638d0b6d852d82;5ae7d6cf2827f7968abcb5e124fffb51264182a5;;;FALSO;20000000;1;d1d4bed61299f979bb628cf5250a8657bc610aff;San Benito;#1006;10;Vehículo particular;Candelaria;cd2d0afad3c1e00ad4500cd44f94cc316f07035e;Hombre;52;Casado(a);Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Automóvil;Sin dato;Sin dato;e56f69b049f0569379756c7843638d0b6d852d82;Hurto por piratería terrestre;Atraco;Sin dato;Piratería;Arma de fuego;Sin dato;Sin dato;5ae7d6cf2827f7968abcb5e124fffb51264182a5;Sin dato mercancías;Sin dato mercancías;Mercancía;-1;Sin dato;Sin dato;Sin dato
4961;HS_HURTO_GENERAL_2013_13390;2005-09-19 14:20:00;43bb8f8fed648d7a4dcb0a2d730feb01a71ebc55;ae189ef3ba568b7a325dd2e2887a76ecc859965d;e56f69b049f0569379756c7843638d0b6d852d82;5ae7d6cf2827f7968abcb5e124fffb51264182a5;6,274579;-75,564454;FALSO;6000000;1;ae189ef3ba568b7a325dd2e2887a76ecc859965d;Miranda;#0415;4;Vehículo particular;Aranjuez;43bb8f8fed648d7a4dcb0a2d730feb01a71ebc55;Hombre;38;Unión marital de hecho;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Automóvil;Sin dato;Sin dato;e56f69b049f0569379756c7843638d0b6d852d82;Hurto por piratería terrestre;Atraco;Sin dato;Piratería;Arma de fuego;Sin dato;Sin dato;5ae7d6cf2827f7968abcb5e124fffb51264182a5;Sin dato mercancías;Sin dato mercancías;Mercancía;-1;Sin dato;Sin dato;Sin dato
4962;HS_HURTO_GENERAL_2013_13392;2005-09-19 07:30:00;b28f063a842bfcc39a36a917d903a598a69531b1;49d496bb10a54714ec51ac842230c6887c9e027c;e56f69b049f0569379756c7843638d0b6d852d82;6729f9c5c05c3dfa0a20e89a44a2c7eba2ecb0dd;6,307757;-75,572547;FALSO;3800949,25;1;49d496bb10a54714ec51ac842230c6887c9e027c;Santander;#0601;6;Vehículo particular;Doce de Octubre;b28f063a842bfcc39a36a917d903a598a69531b1;Hombre;33;Soltero(a);Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Automóvil;Sin dato;Sin dato;e56f69b049f0569379756c7843638d0b6d852d82;Hurto por piratería terrestre;Atraco;Sin dato;Piratería;Arma de fuego;Sin dato;Sin dato;6729f9c5c05c3dfa0a20e89a44a2c7eba2ecb0dd;Carbohidratos y dulces;Alimento;Mercancía;-1;Sin dato;Sin dato;Sin dato
