;stage;fecha_hecho;poblacion;territorio;caracteristica;patrimonio;latitud;longitud;caso;valor;cantidad;id;nombre_barrio;codigo_barrio;codigo_comuna;lugar;sede_receptora;id;sexo;edad;estado_civil;grupo_actor;actividad_delictiva;parentesco;ocupacion;discapacidad;grupo_especial;medio_transporte;nivel_academico;testigo;id;conducta;modalidad;caracterizacion;conducta_especial;arma_medio;articulo_penal;categoria_penal;id;bien;categoria_bien;grupo_bien;modelo;color;permiso;unidad_medida
86649;HS_HURTO_GENERAL_2013_6840;2004-04-29 09:53:00;07ab83f0191239f2f355a666b55c3f1add2229c7;b35537993dcdb7fd3919988bfbbcd065d9258907;6294eeb110d96bf3eafee4e9d69e2db90fe0536e;171fa4ad016b0a449b37cf8e9f99f3e0eafa72df;6,239491;-75,587397;VERDADERO;5500000;1;b35537993dcdb7fd3919988bfbbcd065d9258907;Los Conquistadores;#1105;11;Banco;Sin dato;07ab83f0191239f2f355a666b55c3f1add2229c7;Sin dato;-1;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;6294eeb110d96bf3eafee4e9d69e2db90fe0536e;Hurto a entidad financiera;Sin dato;Sin dato;Sin dato;Arma de fuego;Sin dato;Sin dato;171fa4ad016b0a449b37cf8e9f99f3e0eafa72df;Peso;Dinero, joyas, piedras preciosas y título valor;Mercancía;-1;Sin dato;Sin dato;Sin dato
86710;HS_HURTO_GENERAL_2013_7388;2004-06-16 14:45:00;07ab83f0191239f2f355a666b55c3f1add2229c7;540442a8156bc0ad694a7a08bae59ef2bd57e107;6294eeb110d96bf3eafee4e9d69e2db90fe0536e;171fa4ad016b0a449b37cf8e9f99f3e0eafa72df;6,257921;-75,585145;VERDADERO;6000000;1;540442a8156bc0ad694a7a08bae59ef2bd57e107;Suramericana;#1102;11;Banco;Sin dato;07ab83f0191239f2f355a666b55c3f1add2229c7;Sin dato;-1;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;6294eeb110d96bf3eafee4e9d69e2db90fe0536e;Hurto a entidad financiera;Sin dato;Sin dato;Sin dato;Arma de fuego;Sin dato;Sin dato;171fa4ad016b0a449b37cf8e9f99f3e0eafa72df;Peso;Dinero, joyas, piedras preciosas y título valor;Mercancía;-1;Sin dato;Sin dato;Sin dato
86732;HS_HURTO_GENERAL_2013_7651;2004-07-02 14:40:00;07ab83f0191239f2f355a666b55c3f1add2229c7;c56689a2b03062111a1d60bbacb885a0412bd00d;6294eeb110d96bf3eafee4e9d69e2db90fe0536e;171fa4ad016b0a449b37cf8e9f99f3e0eafa72df;;;VERDADERO;7000000;1;c56689a2b03062111a1d60bbacb885a0412bd00d;Estadio;#1113;11;Banco;Sin dato;07ab83f0191239f2f355a666b55c3f1add2229c7;Sin dato;-1;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;6294eeb110d96bf3eafee4e9d69e2db90fe0536e;Hurto a entidad financiera;Sin dato;Sin dato;Sin dato;Arma de fuego;Sin dato;Sin dato;171fa4ad016b0a449b37cf8e9f99f3e0eafa72df;Peso;Dinero, joyas, piedras preciosas y título valor;Mercancía;-1;Sin dato;Sin dato;Sin dato
86752;HS_HURTO_GENERAL_2010_9071;2004-07-16 08:15:00;07ab83f0191239f2f355a666b55c3f1add2229c7;d0f8fdbc4fba2a0fdb9643984709d6655f99d8a0;7fe8bf456731f9a3e8be376d87ed7c93c13b0d0c;171fa4ad016b0a449b37cf8e9f99f3e0eafa72df;6,248753;-75,562341;VERDADERO;1882000;1;d0f8fdbc4fba2a0fdb9643984709d6655f99d8a0;La Candelaria;#1019;10;Banco;Candelaria;07ab83f0191239f2f355a666b55c3f1add2229c7;Sin dato;-1;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;7fe8bf456731f9a3e8be376d87ed7c93c13b0d0c;Hurto a entidad financiera;Taquillazo;Sin dato;Sin dato;Arma de fuego;Sin dato;Sin dato;171fa4ad016b0a449b37cf8e9f99f3e0eafa72df;Peso;Dinero, joyas, piedras preciosas y título valor;Mercancía;-1;Sin dato;Sin dato;Sin dato
86784;HS_HURTO_GENERAL_2010_9280;2004-07-28 10:55:00;07ab83f0191239f2f355a666b55c3f1add2229c7;d0f8fdbc4fba2a0fdb9643984709d6655f99d8a0;a9327dbd7449e47fab9a912b3bdaab82f962f3b2;171fa4ad016b0a449b37cf8e9f99f3e0eafa72df;6,248217;-75,567492;VERDADERO;4032000;1;d0f8fdbc4fba2a0fdb9643984709d6655f99d8a0;La Candelaria;#1019;10;Banco;Candelaria;07ab83f0191239f2f355a666b55c3f1add2229c7;Sin dato;-1;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;a9327dbd7449e47fab9a912b3bdaab82f962f3b2;Hurto a entidad financiera;Atraco;Sin dato;Sin dato;Arma de fuego;Sin dato;Sin dato;171fa4ad016b0a449b37cf8e9f99f3e0eafa72df;Peso;Dinero, joyas, piedras preciosas y título valor;Mercancía;-1;Sin dato;Sin dato;Sin dato
86790;HS_HURTO_GENERAL_2010_9385;2004-08-04 15:30:00;07ab83f0191239f2f355a666b55c3f1add2229c7;b570deac6cc92f88bb07002a89a96f342dffae9c;a9327dbd7449e47fab9a912b3bdaab82f962f3b2;171fa4ad016b0a449b37cf8e9f99f3e0eafa72df;6,231508;-75,595697;VERDADERO;12199000;1;b570deac6cc92f88bb07002a89a96f342dffae9c;Belén;#1603;16;Banco;Belén;07ab83f0191239f2f355a666b55c3f1add2229c7;Sin dato;-1;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;a9327dbd7449e47fab9a912b3bdaab82f962f3b2;Hurto a entidad financiera;Atraco;Sin dato;Sin dato;Arma de fuego;Sin dato;Sin dato;171fa4ad016b0a449b37cf8e9f99f3e0eafa72df;Peso;Dinero, joyas, piedras preciosas y título valor;Mercancía;-1;Sin dato;Sin dato;Sin dato
86792;HS_HURTO_GENERAL_2013_8150;2004-08-04 15:30:00;07ab83f0191239f2f355a666b55c3f1add2229c7;d498209739dda4ff6c8e5ed898078204758ea3a8;6294eeb110d96bf3eafee4e9d69e2db90fe0536e;171fa4ad016b0a449b37cf8e9f99f3e0eafa72df;6,231508;-75,595697;VERDADERO;12199000;1;d498209739dda4ff6c8e5ed898078204758ea3a8;Belén;#1603;16;Banco;Sin dato;07ab83f0191239f2f355a666b55c3f1add2229c7;Sin dato;-1;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;6294eeb110d96bf3eafee4e9d69e2db90fe0536e;Hurto a entidad financiera;Sin dato;Sin dato;Sin dato;Arma de fuego;Sin dato;Sin dato;171fa4ad016b0a449b37cf8e9f99f3e0eafa72df;Peso;Dinero, joyas, piedras preciosas y título valor;Mercancía;-1;Sin dato;Sin dato;Sin dato
86831;HS_HURTO_GENERAL_2010_9825;2004-09-08 10:10:00;07ab83f0191239f2f355a666b55c3f1add2229c7;b570deac6cc92f88bb07002a89a96f342dffae9c;a9327dbd7449e47fab9a912b3bdaab82f962f3b2;171fa4ad016b0a449b37cf8e9f99f3e0eafa72df;6,232033;-75,596847;VERDADERO;8251393,5;1;b570deac6cc92f88bb07002a89a96f342dffae9c;Belén;#1603;16;Banco;Belén;07ab83f0191239f2f355a666b55c3f1add2229c7;Sin dato;-1;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;a9327dbd7449e47fab9a912b3bdaab82f962f3b2;Hurto a entidad financiera;Atraco;Sin dato;Sin dato;Arma de fuego;Sin dato;Sin dato;171fa4ad016b0a449b37cf8e9f99f3e0eafa72df;Peso;Dinero, joyas, piedras preciosas y título valor;Mercancía;-1;Sin dato;Sin dato;Sin dato
86924;HS_HURTO_GENERAL_2013_9532;2004-11-30 07:55:00;07ab83f0191239f2f355a666b55c3f1add2229c7;b9be54ac45075273fafc0ff191a5c02b3cca7c11;6294eeb110d96bf3eafee4e9d69e2db90fe0536e;171fa4ad016b0a449b37cf8e9f99f3e0eafa72df;;;VERDADERO;122333000;1;b9be54ac45075273fafc0ff191a5c02b3cca7c11;San Diego;#1020;10;Banco;Sin dato;07ab83f0191239f2f355a666b55c3f1add2229c7;Sin dato;-1;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;6294eeb110d96bf3eafee4e9d69e2db90fe0536e;Hurto a entidad financiera;Sin dato;Sin dato;Sin dato;Arma de fuego;Sin dato;Sin dato;171fa4ad016b0a449b37cf8e9f99f3e0eafa72df;Peso;Dinero, joyas, piedras preciosas y título valor;Mercancía;-1;Sin dato;Sin dato;Sin dato
87741;1d49cc89850f66e954aeb0b6352fb01530b9dec2;2020-10-14 08:21:00;6487dc9f8774d24bce88813472ddffefac0f3d2a;a11d090e871905e4fc45992261d238bd5cc72a2a;83c936d23cbabf7edd87478d2da7902b9fb60d14;171fa4ad016b0a449b37cf8e9f99f3e0eafa72df;6,30196435;-75,57285339;VERDADERO;6997807;1;a11d090e871905e4fc45992261d238bd5cc72a2a;Pedregal;#0604;6;Banco;Doce de Octubre;6487dc9f8774d24bce88813472ddffefac0f3d2a;Sin dato;-1;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Caminata;Sin dato;Sin dato;83c936d23cbabf7edd87478d2da7902b9fb60d14;Hurto a entidad financiera;Atraco;Sin dato;No;Arma de fuego;Sin dato;Sin dato;171fa4ad016b0a449b37cf8e9f99f3e0eafa72df;Peso;Dinero, joyas, piedras preciosas y título valor;Mercancía;-1;Sin dato;Sin dato;Sin dato
